node,region,infrastruct,lat,lon,|,pv,gas,oil,bat_in,bat_out,bat_e,trans,demand
dena21,GER,ex,54.111,9.915,|,1068,23,550,0,0,0,0,1
dena81,GER,ex,53.053645,12.818226,|,2655,2468,718,0,0,20,0,1
